Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,SMA20,Prev_Close,Prev_SMA20,Buy_Signal,Sell_Signal
2024-01-01,21741.900390625,21834.349609375,21680.849609375,21727.75,154000,,,,False,False
2024-01-02,21665.80078125,21755.599609375,21555.650390625,21751.349609375,263700,,21741.900390625,,False,False
2024-01-03,21517.349609375,21677.0,21500.349609375,21661.099609375,311900,,21665.80078125,,False,False
2024-01-04,21658.599609375,21685.650390625,21564.55078125,21605.80078125,339200,,21517.349609375,,False,False
2024-01-05,21710.80078125,21749.599609375,21629.19921875,21705.75,309300,,21658.599609375,,False,False
2024-01-08,21513.0,21763.94921875,21492.900390625,21747.599609375,231500,,21710.80078125,,False,False
2024-01-09,21544.849609375,21724.44921875,21517.849609375,21653.599609375,228600,,21513.0,,False,False
2024-01-10,21618.69921875,21641.849609375,21448.650390625,21529.30078125,217000,,21544.849609375,,False,False
2024-01-11,21647.19921875,21726.5,21593.75,21688.0,212500,,21618.69921875,,False,False
2024-01-12,21894.55078125,21928.25,21715.150390625,21773.55078125,294700,,21647.19921875,,False,False
2024-01-15,22097.44921875,22115.55078125,21963.55078125,22053.150390625,345500,,21894.55078125,,False,False
2024-01-16,22032.30078125,22124.150390625,21969.80078125,22080.5,292400,,22097.44921875,,False,False
2024-01-17,21571.94921875,21851.5,21550.44921875,21647.25,456000,,22032.30078125,,False,False
2024-01-18,21462.25,21539.400390625,21285.55078125,21414.19921875,387300,,21571.94921875,,False,False
2024-01-19,21622.400390625,21670.599609375,21575.0,21615.19921875,343100,,21462.25,,False,False
2024-01-23,21238.80078125,21750.25,21192.599609375,21716.69921875,449700,,21622.400390625,,False,False
2024-01-24,21453.94921875,21482.349609375,21137.19921875,21185.25,407500,,21238.80078125,,False,False
2024-01-25,21352.599609375,21459.0,21247.05078125,21454.599609375,418100,,21453.94921875,,False,False
2024-01-29,21737.599609375,21763.25,21429.599609375,21433.099609375,376700,,21352.599609375,,False,False
2024-01-30,21522.099609375,21813.05078125,21501.80078125,21775.75,375100,21630.207421875,21737.599609375,,False,False
2024-01-31,21725.69921875,21741.349609375,21448.849609375,21487.25,410600,21629.39736328125,21522.099609375,21630.207421875,True,False
2024-02-01,21697.44921875,21832.94921875,21658.75,21780.650390625,332500,21630.97978515625,21725.69921875,21629.39736328125,False,False
2024-02-02,21853.80078125,22126.80078125,21805.55078125,21812.75,442800,21647.80234375,21697.44921875,21630.97978515625,False,False
2024-02-05,21771.69921875,21964.30078125,21726.94921875,21921.05078125,440800,21653.45732421875,21853.80078125,21647.80234375,False,False
2024-02-06,21929.400390625,21951.400390625,21737.55078125,21825.19921875,371000,21664.3873046875,21771.69921875,21653.45732421875,False,False
2024-02-07,21930.5,22053.30078125,21860.150390625,22045.05078125,346300,21685.2623046875,21929.400390625,21664.3873046875,False,False
2024-02-08,21717.94921875,22011.05078125,21665.30078125,22009.650390625,491100,21693.91728515625,21930.5,21685.2623046875,False,False
2024-02-09,21782.5,21804.44921875,21629.900390625,21727.0,349200,21702.10732421875,21717.94921875,21693.91728515625,False,False
2024-02-12,21616.05078125,21831.69921875,21574.75,21800.80078125,287400,21700.54990234375,21782.5,21702.10732421875,False,True
2024-02-13,21743.25,21766.80078125,21543.349609375,21664.30078125,365800,21692.98486328125,21616.05078125,21700.54990234375,True,False
2024-02-14,21840.05078125,21870.849609375,21530.19921875,21578.150390625,359100,21680.11494140625,21743.25,21692.98486328125,False,False
2024-02-15,21910.75,21953.849609375,21794.80078125,21906.55078125,345400,21674.03740234375,21840.05078125,21680.11494140625,False,False
2024-02-16,22040.69921875,22068.650390625,21968.94921875,22020.30078125,343900,21697.47490234375,21910.75,21674.03740234375,False,False
2024-02-19,22122.25,22186.650390625,22021.05078125,22103.44921875,0,21730.47490234375,22040.69921875,21697.47490234375,False,False
2024-02-20,22196.94921875,22215.599609375,22045.849609375,22099.19921875,295700,21759.20234375,22122.25,21730.47490234375,False,False
2024-02-21,22055.05078125,22249.400390625,21997.94921875,22248.849609375,364500,21800.01484375,22196.94921875,21759.20234375,False,False
2024-02-22,22217.44921875,22252.5,21875.25,22081.55078125,343500,21838.18984375,22055.05078125,21800.01484375,False,False
2024-02-23,22212.69921875,22297.5,22186.099609375,22290.0,226000,21881.19482421875,22217.44921875,21838.18984375,False,False
2024-02-26,22122.05078125,22202.150390625,22075.150390625,22169.19921875,207800,21900.4173828125,22212.69921875,21881.19482421875,False,False
2024-02-27,22198.349609375,22218.25,22085.650390625,22090.19921875,252200,21934.2298828125,22122.05078125,21900.4173828125,False,False
2024-02-28,21951.150390625,22229.150390625,21915.849609375,22214.099609375,203000,21945.50244140625,22198.349609375,21934.2298828125,False,False
2024-02-29,21982.80078125,22060.55078125,21860.650390625,21935.19921875,360200,21959.77001953125,21951.150390625,21945.50244140625,False,False
2024-03-01,22338.75,22353.30078125,22047.75,22048.30078125,351500,21984.01748046875,21982.80078125,21959.77001953125,False,False
2024-03-04,22405.599609375,22440.900390625,22358.30078125,22403.5,298800,22015.7125,22338.75,21984.01748046875,False,False
2024-03-05,22356.30078125,22416.900390625,22269.150390625,22371.25,296200,22037.05751953125,22405.599609375,22015.7125,False,False
2024-03-06,22474.05078125,22497.19921875,22224.349609375,22327.5,312300,22064.23505859375,22356.30078125,22037.05751953125,False,False
2024-03-07,22493.55078125,22525.650390625,22430.0,22505.30078125,379900,22103.01513671875,22474.05078125,22064.23505859375,False,False
2024-03-11,22332.650390625,22526.599609375,22307.25,22517.5,277900,22130.52265625,22493.55078125,22103.01513671875,False,False
2024-03-12,22335.69921875,22452.55078125,22256.0,22334.44921875,299200,22166.505078125,22332.650390625,22130.52265625,False,False
2024-03-13,21997.69921875,22446.75,21905.650390625,22432.19921875,493300,22179.2275390625,22335.69921875,22166.505078125,False,True
2024-03-14,22146.650390625,22204.599609375,21917.5,21982.55078125,426700,22194.55751953125,21997.69921875,22179.2275390625,False,False
2024-03-15,22023.349609375,22120.900390625,21931.69921875,22064.849609375,661500,22200.1875,22146.650390625,22194.55751953125,False,False
2024-03-18,22055.69921875,22123.69921875,21916.55078125,21990.099609375,356300,22200.9375,22023.349609375,22200.1875,False,False
2024-03-19,21817.44921875,21978.30078125,21793.099609375,21946.44921875,344200,22185.6974609375,22055.69921875,22200.9375,False,False
2024-03-20,21839.099609375,21930.900390625,21710.19921875,21843.900390625,312400,22167.80498046875,21817.44921875,22185.6974609375,False,False
2024-03-21,22011.94921875,22080.94921875,21941.30078125,21989.900390625,353200,22165.64990234375,21839.099609375,22167.80498046875,False,False
2024-03-22,22096.75,22180.69921875,21883.30078125,21932.19921875,388700,22159.61494140625,22011.94921875,22165.64990234375,False,False
2024-03-26,22004.69921875,22073.19921875,21947.55078125,21947.900390625,328400,22149.21494140625,22096.75,22159.61494140625,False,False
2024-03-27,22123.650390625,22193.599609375,22052.849609375,22053.94921875,409100,22149.294921875,22004.69921875,22149.21494140625,False,False
2024-03-28,22326.900390625,22516.0,22163.599609375,22163.599609375,410500,22155.7224609375,22123.650390625,22149.294921875,True,False
2024-04-01,22462.0,22529.94921875,22427.75,22455.0,0,22181.26494140625,22326.900390625,22155.7224609375,False,False
2024-04-02,22453.30078125,22497.599609375,22388.150390625,22458.80078125,289500,22204.78994140625,22462.0,22181.26494140625,False,False
2024-04-03,22434.650390625,22521.099609375,22346.5,22385.69921875,309600,22209.5849609375,22453.30078125,22204.78994140625,False,False
2024-04-04,22514.650390625,22619.0,22303.80078125,22592.099609375,401000,22215.0375,22434.650390625,22209.5849609375,False,False
2024-04-05,22513.69921875,22537.599609375,22427.599609375,22486.400390625,242200,22222.907421875,22514.650390625,22215.0375,False,False
2024-04-08,22666.30078125,22697.30078125,22550.349609375,22578.349609375,227600,22232.519921875,22513.69921875,22222.907421875,False,False
2024-04-09,22642.75,22768.400390625,22612.25,22765.099609375,232400,22239.9798828125,22666.30078125,22232.519921875,False,False
2024-04-10,22753.80078125,22775.69921875,22673.69921875,22720.25,276800,22261.03740234375,22642.75,22239.9798828125,False,False
2024-04-12,22519.400390625,22726.44921875,22503.75,22677.400390625,357200,22270.2224609375,22753.80078125,22261.03740234375,False,False
2024-04-15,22272.5,22427.44921875,22259.55078125,22339.05078125,355500,22283.9625,22519.400390625,22270.2224609375,False,True
2024-04-16,22147.900390625,22213.75,22079.44921875,22125.30078125,317300,22284.025,22272.5,22283.9625,False,False
2024-04-18,21995.849609375,22326.5,21961.69921875,22212.349609375,456900,22282.65,22147.900390625,22284.025,False,False
